start_date,end_date,lookback_start,lookback_end,best_strategy,best_score
2017-01-31,2017-02-28,2016-01-30,2017-01-30,time_dow_1_1,0.1184078258647808
2017-02-28,2017-03-31,2016-02-27,2017-02-27,ml_linear_thr_20_0.25,0.11673848679766911
2017-03-31,2017-04-30,2016-03-30,2017-03-30,mr_rsi_20_65_35,0.10025857494635489
2017-04-30,2017-05-31,2016-04-29,2017-04-29,mr_z_40_0.5,0.13689895595702822
2017-05-31,2017-06-30,2016-05-30,2017-05-30,mr_z_40_0.5,0.1388792597759778
2017-06-30,2017-07-31,2016-06-29,2017-06-29,vol_highmr_20_20_0.6,0.11571610115686999
2017-07-31,2017-08-31,2016-07-30,2017-07-30,vol_highmr_60_10_0.4,0.15669922067155884
2017-08-31,2017-09-30,2016-08-30,2017-08-30,vol_highmr_60_10_0.4,0.1945765528768168
2017-09-30,2017-10-31,2016-09-29,2017-09-29,vol_highmr_60_10_0.4,0.12534951780812584
2017-10-31,2017-11-30,2016-10-30,2017-10-30,vol_highmr_60_10_0.4,0.1210054506552101
2017-11-30,2017-12-31,2016-11-29,2017-11-29,time_dow_3_1,0.12421571181779478
2017-12-31,2018-01-31,2016-12-30,2017-12-30,time_dow_3_1,0.1293601668146174
2018-01-31,2018-02-28,2017-01-30,2018-01-30,time_dow_3_1,0.1263189337523005
2018-02-28,2018-03-31,2017-02-27,2018-02-27,vol_highmr_20_10_0.6,0.1264778672109487
2018-03-31,2018-04-30,2017-03-30,2018-03-30,time_dow_3_1,0.13308077548479436
2018-04-30,2018-05-31,2017-04-29,2018-04-29,vol_lowtrend_20_10_0.4,0.131172120558288
2018-05-31,2018-06-30,2017-05-30,2018-05-30,event_weekday_trend_1,0.15154115824185457
2018-06-30,2018-07-31,2017-06-29,2018-06-29,event_weekday_trend_1,0.19485003194129635
2018-07-31,2018-08-31,2017-07-30,2018-07-30,vol_lowtrend_20_10_0.4,0.1607739898992592
2018-08-31,2018-09-30,2017-08-30,2018-08-30,vol_lowtrend_20_10_0.4,0.17987081553446382
2018-09-30,2018-10-31,2017-09-29,2018-09-29,vol_lowtrend_20_10_0.4,0.1794835018036713
2018-10-31,2018-11-30,2017-10-30,2018-10-30,vol_lowtrend_20_10_0.4,0.17594543304178106
2018-11-30,2018-12-31,2017-11-29,2018-11-29,vol_lowtrend_20_10_0.4,0.1718837553853266
2018-12-31,2019-01-31,2017-12-30,2018-12-30,vol_lowtrend_20_10_0.4,0.16781329340672688
2019-01-31,2019-02-28,2018-01-30,2019-01-30,vol_lowtrend_20_10_0.4,0.15657462913824247
2019-02-28,2019-03-31,2018-02-27,2019-02-27,vol_lowtrend_20_20_0.6,0.14693347942485704
2019-03-31,2019-04-30,2018-03-30,2019-03-30,vol_lowtrend_20_10_0.4,0.1413850939194621
2019-04-30,2019-05-31,2018-04-29,2019-04-29,vol_lowtrend_20_10_0.4,0.164228563935001
2019-05-31,2019-06-30,2018-05-30,2019-05-30,vol_lowtrend_20_10_0.4,0.1701454451051552
2019-06-30,2019-07-31,2018-06-29,2019-06-29,vol_lowtrend_20_10_0.4,0.1466663842465081
2019-07-31,2019-08-31,2018-07-30,2019-07-30,vol_lowtrend_20_10_0.4,0.1463779680818255
2019-08-31,2019-09-30,2018-08-30,2019-08-30,time_dow_2_-1,0.13377550925505874
2019-09-30,2019-10-31,2018-09-29,2019-09-29,time_dow_2_-1,0.1186189728623524
2019-10-31,2019-11-30,2018-10-30,2019-10-30,time_month_03_1,0.10803508839337117
2019-11-30,2019-12-31,2018-11-29,2019-11-29,mr_z_60_2.0,0.1474233316071156
2019-12-31,2020-01-31,2018-12-30,2019-12-30,vol_highmr_20_20_0.4,0.18785756502898499
2020-01-31,2020-02-29,2019-01-30,2020-01-30,vol_highmr_20_20_0.4,0.14960080935761805
2020-02-29,2020-03-31,2019-02-28,2020-02-28,vol_lowtrend_20_60_0.4,0.1338748431935666
2020-03-31,2020-04-30,2019-03-30,2020-03-30,vol_lowtrend_20_60_0.4,0.1293934426702341
2020-04-30,2020-05-31,2019-04-29,2020-04-29,event_weekday_trend_4,0.1452662946618173
2020-05-31,2020-06-30,2019-05-30,2020-05-30,event_weekday_trend_4,0.16308804033626295
2020-06-30,2020-07-31,2019-06-29,2020-06-29,event_weekday_trend_4,0.1604694307080348
2020-07-31,2020-08-31,2019-07-30,2020-07-30,event_weekday_trend_4,0.16283021481983986
2020-08-31,2020-09-30,2019-08-30,2020-08-30,event_weekday_trend_4,0.16985978336648158
2020-09-30,2020-10-31,2019-09-29,2020-09-29,event_weekday_trend_4,0.15631355597329763
2020-10-31,2020-11-30,2019-10-30,2020-10-30,event_weekday_trend_4,0.15555229682993876
2020-11-30,2020-12-31,2019-11-29,2020-11-29,vol_lowtrend_20_10_0.6,0.150960462486357
2020-12-31,2021-01-31,2019-12-30,2020-12-30,vol_lowtrend_20_10_0.6,0.16892574885382805
2021-01-31,2021-02-28,2020-01-30,2021-01-30,vol_lowtrend_20_10_0.6,0.17338164072599213
2021-02-28,2021-03-31,2020-02-27,2021-02-27,vol_lowtrend_20_10_0.6,0.19972318612496445
2021-03-31,2021-04-30,2020-03-30,2021-03-30,vol_lowtrend_20_20_0.4,0.18313310454460394
2021-04-30,2021-05-31,2020-04-29,2021-04-29,vol_lowtrend_20_20_0.4,0.18313310454460394
2021-05-31,2021-06-30,2020-05-30,2021-05-30,vol_lowtrend_20_10_0.6,0.15684922217374747
2021-06-30,2021-07-31,2020-06-29,2021-06-29,vol_lowtrend_20_10_0.6,0.17529897048186177
2021-07-31,2021-08-31,2020-07-30,2021-07-30,trend_ma_cross_30_180,0.16267141683676334
2021-08-31,2021-09-30,2020-08-30,2021-08-30,trend_ma_cross_30_180,0.1591825214917993
2021-09-30,2021-10-31,2020-09-29,2021-09-29,trend_ma_cross_30_180,0.167021560068227
2021-10-31,2021-11-30,2020-10-30,2021-10-30,trend_mom_120,0.18728705836149873
2021-11-30,2021-12-31,2020-11-29,2021-11-29,vol_lowtrend_120_20_0.4,0.16355087411064512
2021-12-31,2022-01-31,2020-12-30,2021-12-30,vol_lowtrend_120_20_0.4,0.15330936116550248
2022-01-31,2022-02-28,2021-01-30,2022-01-30,vol_lowtrend_120_10_0.5,0.16038334518937117
2022-02-28,2022-03-31,2021-02-27,2022-02-27,event_weekday_trend_3,0.14653556747338412
2022-03-31,2022-04-30,2021-03-30,2022-03-30,event_weekday_trend_3,0.18260613410731366
2022-04-30,2022-05-31,2021-04-29,2022-04-29,event_weekday_trend_3,0.16741221516056826
2022-05-31,2022-06-30,2021-05-30,2022-05-30,vol_lowtrend_120_10_0.5,0.1583056982268591
2022-06-30,2022-07-31,2021-06-29,2022-06-29,time_month_01_1,0.13685037373407694
2022-07-31,2022-08-31,2021-07-30,2022-07-30,time_month_01_1,0.13711723822795194
2022-08-31,2022-09-30,2021-08-30,2022-08-30,vol_lowtrend_20_60_0.5,0.13924169004797016
2022-09-30,2022-10-31,2021-09-29,2022-09-29,time_month_01_1,0.13685037373407694
2022-10-31,2022-11-30,2021-10-30,2022-10-30,time_month_01_1,0.137385670147674
2022-11-30,2022-12-31,2021-11-29,2022-11-29,vol_lowtrend_60_60_0.4,0.15807294086055987
2022-12-31,2023-01-31,2021-12-30,2022-12-30,time_month_01_1,0.1371172382279519
2023-01-31,2023-02-28,2022-01-30,2023-01-30,time_dow_3_1,0.13351728885895378
2023-02-28,2023-03-31,2022-02-27,2023-02-27,mr_st_rev_10,0.14303096471075896
2023-03-31,2023-04-30,2022-03-30,2023-03-30,micro_lag_revert_1,0.16528862194510371
2023-04-30,2023-05-31,2022-04-29,2023-04-29,micro_lag_revert_1,0.17681603368739732
2023-05-31,2023-06-30,2022-05-30,2023-05-30,micro_lag_revert_1,0.1844133684200708
2023-06-30,2023-07-31,2022-06-29,2023-06-29,mr_z_20_1.0,0.1746847662081387
2023-07-31,2023-08-31,2022-07-30,2023-07-30,vol_highmr_20_20_0.5,0.14214793450273466
2023-08-31,2023-09-30,2022-08-30,2023-08-30,vol_highmr_120_20_0.5,0.13528078901474963
2023-09-30,2023-10-31,2022-09-29,2023-09-29,time_month_07_1,0.130258954912701
2023-10-31,2023-11-30,2022-10-30,2023-10-30,time_dow_3_1,0.13649412246258924
2023-11-30,2023-12-31,2022-11-29,2023-11-29,time_dow_3_1,0.14049494834722248
2023-12-31,2024-01-31,2022-12-30,2023-12-30,time_dow_3_1,0.14449528440861126
2024-01-31,2024-02-29,2023-01-30,2024-01-30,time_dow_3_1,0.13976814378494654
2024-02-29,2024-03-31,2023-02-28,2024-02-28,vol_highmr_60_10_0.6,0.1468728969183162
2024-03-31,2024-04-30,2023-03-30,2024-03-30,time_dow_3_1,0.14812874533392648
2024-04-30,2024-05-31,2023-04-29,2024-04-29,time_dow_3_1,0.14481140303054774
2024-05-31,2024-06-30,2023-05-30,2024-05-30,vol_highmr_60_10_0.6,0.13505320010705213
